(316, 457)
(318, 401)
(319, 385)
(319, 411)
(321, 426)
(324, 422)
(326, 427)
(326, 457)
(327, 381)
(329, 401)
(331, 453)
(332, 443)
(334, 447)
(334, 457)
(335, 375)
(337, 426)
(338, 395)
(341, 435)
(342, 389)
(343, 344)
(346, 349)
(347, 447)
(348, 458)
(350, 359)
(351, 388)
(353, 420)
(354, 436)
(356, 434)
(357, 456)
(358, 457)
(367, 391)
(370, 418)
(374, 403)
(376, 420)
(381, 422)
(381, 449)
(383, 421)
(383, 429)
(385, 392)
(385, 411)
(385, 457)
(386, 441)
(390, 394)
(392, 457)
(396, 427)
(396, 457)
(399, 450)
(405, 427)
(407, 444)
(408, 432)
(410, 425)
(411, 457)
(417, 449)
(428, 443)
(430, 455)
(435, 437)
(440, 446)
(448, 458)
